Locations,One Galle Face,Colombo City Center,Galle Face Green,Gangaramaya Temple,National Museum of Colombo,Independence Memorial Hall,Dutch Museum,National Art Gallery,Kelaniya Raja Maha Viharaya,Kailasanathar Swamy Kovil,Viharamahadevi Park,Port City,Lotus Tower,Jami Ul-Alfar Mosque,Pettah Market
,,,,60,180,,,,,,,,,,
,,,,45,120,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,180,60,,,,,,,,,,
,,,,120,120,,,,,,,,,,
,,,,180,90,,,,,,,,,,
,,,,120,30,,,,,,,,,,
,,,,180,30,,,,,,,,,,
,,,,60,90,,,,,,,,,,
,,,,120,45,,,,,,,,,,
,,,,60,40,,,,,,,,,,
,,,,180,90,,,,,,,,,,
,,,,150,15,,,,,,,,,,
,,,,180,20,,,,,,,,,,
,,,,60,40,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,60,300,,,,,,,,,,
,,,,180,240,,,,,,,,,,
,,,,60,240,,,,,,,,,,
,,,,90,240,,,,,,,,,,
,,,,60,240,,,,,,,,,,
,,,,15,300,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,300,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,20,300,,,,,,,,,,
,,,,45,300,,,,,,,,,,
,,,,20,300,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,45,240,,,,,,,,,,
,,,,30,300,,,,,,,,,,
,,,,45,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,300,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,30,240,,,,,,,,,,
,,,,15,240,,,,,,,,,,
,,,,30,180,,,,,,,,,,
,,,,30,150,,,,,,,,,,
,,,,20,120,,,,,,,,,,
,,,,20,150,,,,,,,,,,
,,,,15,180,,,,,,,,,,
,,,,15,200,,,,,,,,,,
,,,,10,200,,,,,,,,,,
,,,,90,200,,,,,,,,,,
,,,,30,200,,,,,,,,,,
,,,,45,35,,,,,,,,,,
,,,,30,40,,,,,,,,,,
