,locations,timeOfDay,stayTime
192,National Museum of Colombo,Morning,60
193,National Museum of Colombo,Evening,60
194,National Museum of Colombo,Night,45
195,Independence Memorial Hall,Morning,45
196,Independence Memorial Hall,Evening,45
197,Independence Memorial Hall,Night,45
198,Dutch Museum,Morning,60
199,Dutch Museum,Evening,60
200,Dutch Museum,Night,60
201,National Art Gallery,Morning,120
202,National Art Gallery,Evening,60
203,National Art Gallery,Night,45
204,Kelaniya Raja Maha Viharaya,Morning,45
205,Kelaniya Raja Maha Viharaya,Evening,45
206,Kelaniya Raja Maha Viharaya,Night,45
207,Kailasanathar Swamy Kovil,Morning,45
208,Kailasanathar Swamy Kovil,Evening,45
209,Kailasanathar Swamy Kovil,Night,45
210,Viharamahadevi Park,Morning,60
211,Viharamahadevi Park,Evening,60
212,Viharamahadevi Park,Night,60
213,Port City,Morning,45
214,Port City,Evening,45
215,Port City,Night,45
216,Lotus Tower,Morning,60
217,Lotus Tower,Evening,60
218,Lotus Tower,Night,45
219,Pettah Market,Morning,120
220,Pettah Market,Evening,60
221,Pettah Market,Night,45
225,One Galle Face ,Morning,45
226,One Galle Face ,Evening,120
227,One Galle Face ,Night,200
228,Colombo City Center (CCC),Morning,45
229,Colombo City Center (CCC),Evening,60
230,Colombo City Center (CCC),Night,200
231,Galle Face Green,Morning,60
232,Galle Face Green,Evening,45
233,Galle Face Green,Night,120
234,Gangaramaya Temple,Morning,60
235,Gangaramaya Temple,Evening,60
236,Gangaramaya Temple,Night,120
237,National Museum of Colombo,Morning,60
238,National Museum of Colombo,Evening,60
239,National Museum of Colombo,Night,45
240,Independence Memorial Hall,Morning,45
241,Independence Memorial Hall,Evening,45
242,Independence Memorial Hall,Night,45
243,Dutch Museum,Morning,45
244,Dutch Museum,Evening,60
245,Dutch Museum,Night,45
246,National Art Gallery,Morning,45
247,National Art Gallery,Evening,45
248,National Art Gallery,Night,45
249,Kelaniya Raja Maha Viharaya,Morning,60
250,Kelaniya Raja Maha Viharaya,Evening,60
251,Kelaniya Raja Maha Viharaya,Night,45
252,Kailasanathar Swamy Kovil,Morning,60
253,Kailasanathar Swamy Kovil,Evening,45
254,Kailasanathar Swamy Kovil,Night,45
255,Viharamahadevi Park,Morning,60
256,Viharamahadevi Park,Evening,45
257,Viharamahadevi Park,Night,120
258,Port City,Morning,45
259,Port City,Evening,45
260,Port City,Night,45
261,Lotus Tower,Morning,45
262,Lotus Tower,Evening,45
263,Lotus Tower,Night,45
264,Pettah Market,Morning,45
265,Pettah Market,Evening,60
266,Pettah Market,Night,45
270,One Galle Face ,Morning,60
271,One Galle Face ,Evening,120
272,One Galle Face ,Night,120
273,Colombo City Center (CCC),Morning,60
274,Colombo City Center (CCC),Evening,120
275,Colombo City Center (CCC),Night,120
276,Galle Face Green,Morning,60
277,Galle Face Green,Evening,45
278,Galle Face Green,Night,120
279,Gangaramaya Temple,Morning,60
280,Gangaramaya Temple,Evening,60
281,Gangaramaya Temple,Night,60
282,National Museum of Colombo,Morning,60
283,National Museum of Colombo,Evening,60
284,National Museum of Colombo,Night,60
285,Independence Memorial Hall,Morning,60
286,Independence Memorial Hall,Evening,45
287,Independence Memorial Hall,Night,60
288,Dutch Museum,Morning,60
289,Dutch Museum,Evening,60
290,Dutch Museum,Night,60
294,Kelaniya Raja Maha Viharaya,Morning,60
295,Kelaniya Raja Maha Viharaya,Evening,45
296,Kelaniya Raja Maha Viharaya,Night,60
297,Kailasanathar Swamy Kovil,Morning,60
298,Kailasanathar Swamy Kovil,Evening,60
299,Kailasanathar Swamy Kovil,Night,60
300,Viharamahadevi Park,Morning,60
301,Viharamahadevi Park,Evening,60
302,Viharamahadevi Park,Night,60
303,Port City,Morning,120
304,Port City,Evening,60
305,Port City,Night,200
309,Pettah Market,Morning,60
310,Pettah Market,Evening,60
311,Pettah Market,Night,60
315,One Galle Face ,Morning,60
316,One Galle Face ,Evening,200
317,One Galle Face ,Night,45
318,Colombo City Center (CCC),Morning,60
319,Colombo City Center (CCC),Evening,120
320,Colombo City Center (CCC),Night,45
321,Galle Face Green,Morning,120
322,Galle Face Green,Evening,200
323,Galle Face Green,Night,45
324,Gangaramaya Temple,Morning,60
325,Gangaramaya Temple,Evening,60
326,Gangaramaya Temple,Night,120
327,National Museum of Colombo,Morning,200
328,National Museum of Colombo,Evening,200
329,National Museum of Colombo,Night,60
330,Independence Memorial Hall,Morning,120
331,Independence Memorial Hall,Evening,60
332,Independence Memorial Hall,Night,45
339,Kelaniya Raja Maha Viharaya,Morning,200
340,Kelaniya Raja Maha Viharaya,Evening,200
341,Kelaniya Raja Maha Viharaya,Night,120
345,Viharamahadevi Park,Morning,60
346,Viharamahadevi Park,Evening,120
347,Viharamahadevi Park,Night,60
348,Port City,Morning,45
349,Port City,Evening,45
350,Port City,Night,45
351,Lotus Tower,Morning,45
352,Lotus Tower,Evening,45
353,Lotus Tower,Night,45
354,Pettah Market,Morning,45
355,Pettah Market,Evening,60
356,Pettah Market,Night,60
360,One Galle Face ,Morning,60
361,One Galle Face ,Evening,120
362,One Galle Face ,Night,120
363,Colombo City Center (CCC),Morning,60
364,Colombo City Center (CCC),Evening,120
365,Colombo City Center (CCC),Night,120
366,Galle Face Green,Morning,120
367,Galle Face Green,Evening,120
368,Galle Face Green,Night,120
369,Gangaramaya Temple,Morning,60
370,Gangaramaya Temple,Evening,60
371,Gangaramaya Temple,Night,60
372,National Museum of Colombo,Morning,120
373,National Museum of Colombo,Evening,120
374,National Museum of Colombo,Night,45
375,Independence Memorial Hall,Morning,120
376,Independence Memorial Hall,Evening,120
377,Independence Memorial Hall,Night,60
384,Kelaniya Raja Maha Viharaya,Morning,120
385,Kelaniya Raja Maha Viharaya,Evening,45
386,Kelaniya Raja Maha Viharaya,Night,60
390,Viharamahadevi Park,Morning,60
391,Viharamahadevi Park,Evening,120
392,Viharamahadevi Park,Night,60
393,Port City,Morning,60
394,Port City,Evening,45
395,Port City,Night,60
399,Pettah Market,Morning,60
400,Pettah Market,Evening,45
401,Pettah Market,Night,60
405,One Galle Face ,Morning,60
406,One Galle Face ,Evening,200
407,One Galle Face ,Night,120
408,Colombo City Center (CCC),Morning,60
409,Colombo City Center (CCC),Evening,200
410,Colombo City Center (CCC),Night,120
411,Galle Face Green,Morning,45
412,Galle Face Green,Evening,60
413,Galle Face Green,Night,60
414,Gangaramaya Temple,Morning,45
415,Gangaramaya Temple,Evening,45
416,Gangaramaya Temple,Night,45
417,National Museum of Colombo,Morning,45
418,National Museum of Colombo,Evening,45
419,National Museum of Colombo,Night,45
420,Independence Memorial Hall,Morning,45
421,Independence Memorial Hall,Evening,60
422,Independence Memorial Hall,Night,45
