,locations,timeOfDay,stayTime
1410,Independence Memorial Hall,Morning,60
1420,Kelaniya Raja Maha Viharaya,Evening,45
1435,Pettah Market,Evening,45
1440,One Galle Face ,Morning,45
1441,One Galle Face ,Evening,120
1442,One Galle Face ,Night,120
1444,Colombo City Center (CCC),Evening,120
1445,Colombo City Center (CCC),Night,60
1448,Galle Face Green,Night,200
1449,Gangaramaya Temple,Morning,60
1450,Gangaramaya Temple,Evening,45
1452,National Museum of Colombo,Morning,60
1455,Independence Memorial Hall,Morning,45
1456,Independence Memorial Hall,Evening,60
1457,Independence Memorial Hall,Night,60
1459,Dutch Museum,Evening,60
1460,Dutch Museum,Night,45
1464,Kelaniya Raja Maha Viharaya,Morning,45
1466,Kelaniya Raja Maha Viharaya,Night,60
1471,Viharamahadevi Park,Evening,60
1472,Viharamahadevi Park,Night,60
1475,Port City,Night,120
1479,Pettah Market,Morning,45
1480,Pettah Market,Evening,45
1485,One Galle Face ,Morning,120
1486,One Galle Face ,Evening,200
1487,One Galle Face ,Night,200
1488,Colombo City Center (CCC),Morning,200
1489,Colombo City Center (CCC),Evening,200
1490,Colombo City Center (CCC),Night,200
1491,Galle Face Green,Morning,200
1492,Galle Face Green,Evening,200
1493,Galle Face Green,Night,200
1494,Gangaramaya Temple,Morning,60
1495,Gangaramaya Temple,Evening,60
1496,Gangaramaya Temple,Night,60
1497,National Museum of Colombo,Morning,60
1498,National Museum of Colombo,Evening,60
1499,National Museum of Colombo,Night,60
1500,Independence Memorial Hall,Morning,60
1501,Independence Memorial Hall,Evening,60
1502,Independence Memorial Hall,Night,60
1503,Dutch Museum,Morning,60
1504,Dutch Museum,Evening,60
1505,Dutch Museum,Night,60
1506,National Art Gallery,Morning,120
1507,National Art Gallery,Evening,120
1508,National Art Gallery,Night,120
1509,Kelaniya Raja Maha Viharaya,Morning,60
1510,Kelaniya Raja Maha Viharaya,Evening,60
1511,Kelaniya Raja Maha Viharaya,Night,60
1512,Kailasanathar Swamy Kovil,Morning,120
1513,Kailasanathar Swamy Kovil,Evening,120
1514,Kailasanathar Swamy Kovil,Night,120
1515,Viharamahadevi Park,Morning,200
1516,Viharamahadevi Park,Evening,200
1517,Viharamahadevi Park,Night,200
1518,Port City,Morning,200
1519,Port City,Evening,200
1520,Port City,Night,200
1521,Lotus Tower,Morning,200
1522,Lotus Tower,Evening,200
1523,Lotus Tower,Night,200
1524,Pettah Market,Morning,120
1525,Pettah Market,Evening,120
1526,Pettah Market,Night,120
1531,One Galle Face ,Evening,60
1532,One Galle Face ,Night,120
1533,Colombo City Center (CCC),Morning,45
1534,Colombo City Center (CCC),Evening,60
1535,Colombo City Center (CCC),Night,120
1536,Galle Face Green,Morning,60
1537,Galle Face Green,Evening,120
1538,Galle Face Green,Night,120
1539,Gangaramaya Temple,Morning,45
1540,Gangaramaya Temple,Evening,45
1542,National Museum of Colombo,Morning,60
1545,Independence Memorial Hall,Morning,120
1546,Independence Memorial Hall,Evening,120
1547,Independence Memorial Hall,Night,60
1548,Dutch Museum,Morning,120
1549,Dutch Museum,Evening,60
1550,Dutch Museum,Night,60
1551,National Art Gallery,Morning,120
1552,National Art Gallery,Evening,60
1553,National Art Gallery,Night,45
1557,Kailasanathar Swamy Kovil,Morning,120
1558,Kailasanathar Swamy Kovil,Evening,60
1559,Kailasanathar Swamy Kovil,Night,60
1560,Viharamahadevi Park,Morning,60
1561,Viharamahadevi Park,Evening,120
1562,Viharamahadevi Park,Night,120
1563,Port City,Morning,120
1564,Port City,Evening,60
1565,Port City,Night,60
1566,Lotus Tower,Morning,60
1567,Lotus Tower,Evening,60
1569,Pettah Market,Morning,120
1570,Pettah Market,Evening,120
1571,Pettah Market,Night,60
1575,One Galle Face ,Morning,45
1576,One Galle Face ,Evening,45
1577,One Galle Face ,Night,120
1578,Colombo City Center (CCC),Morning,45
1579,Colombo City Center (CCC),Evening,120
1580,Colombo City Center (CCC),Night,200
1581,Galle Face Green,Morning,45
1582,Galle Face Green,Evening,120
1583,Galle Face Green,Night,200
1587,National Museum of Colombo,Morning,60
1590,Independence Memorial Hall,Morning,60
1591,Independence Memorial Hall,Evening,60
1592,Independence Memorial Hall,Night,60
1605,Viharamahadevi Park,Morning,45
1606,Viharamahadevi Park,Evening,60
1607,Viharamahadevi Park,Night,60
1614,Pettah Market,Morning,60
1615,Pettah Market,Evening,120
1616,Pettah Market,Night,60
1620,One Galle Face ,Morning,60
1621,One Galle Face ,Evening,60
1622,One Galle Face ,Night,60
1623,Colombo City Center (CCC),Morning,60
1624,Colombo City Center (CCC),Evening,60
1625,Colombo City Center (CCC),Night,60
1626,Galle Face Green,Morning,60
1627,Galle Face Green,Evening,60
1628,Galle Face Green,Night,60
1629,Gangaramaya Temple,Morning,45
1630,Gangaramaya Temple,Evening,45
1631,Gangaramaya Temple,Night,45
1632,National Museum of Colombo,Morning,60
1633,National Museum of Colombo,Evening,60
1634,National Museum of Colombo,Night,60
1635,Independence Memorial Hall,Morning,45
1636,Independence Memorial Hall,Evening,45
1637,Independence Memorial Hall,Night,45
1644,Kelaniya Raja Maha Viharaya,Morning,45
1645,Kelaniya Raja Maha Viharaya,Evening,45
1646,Kelaniya Raja Maha Viharaya,Night,45
1650,Viharamahadevi Park,Morning,45
1651,Viharamahadevi Park,Evening,45
1652,Viharamahadevi Park,Night,45
1659,Pettah Market,Morning,60
1660,Pettah Market,Evening,60
1661,Pettah Market,Night,60
1666,One Galle Face ,Evening,60
1667,One Galle Face ,Night,120
1668,Colombo City Center (CCC),Morning,60
1669,Colombo City Center (CCC),Evening,60
1670,Colombo City Center (CCC),Night,60
1673,Galle Face Green,Night,45
1675,Gangaramaya Temple,Evening,45
1677,National Museum of Colombo,Morning,45
1678,National Museum of Colombo,Evening,45
1680,Independence Memorial Hall,Morning,60
1681,Independence Memorial Hall,Evening,60
1682,Independence Memorial Hall,Night,60
1683,Dutch Museum,Morning,45
1684,Dutch Museum,Evening,45
1686,National Art Gallery,Morning,45
1687,National Art Gallery,Evening,45
1695,Viharamahadevi Park,Morning,45
1696,Viharamahadevi Park,Evening,45
1697,Viharamahadevi Park,Night,45
1698,Port City,Morning,45
1699,Port City,Evening,45
1702,Lotus Tower,Evening,45
1703,Lotus Tower,Night,60
1704,Pettah Market,Morning,60
1705,Pettah Market,Evening,60
1706,Pettah Market,Night,60
1710,One Galle Face ,Morning,45
1711,One Galle Face ,Evening,120
1712,One Galle Face ,Night,45
1713,Colombo City Center (CCC),Morning,45
1714,Colombo City Center (CCC),Evening,60
1715,Colombo City Center (CCC),Night,45
1716,Galle Face Green,Morning,45
1717,Galle Face Green,Evening,45
1718,Galle Face Green,Night,45
1725,Independence Memorial Hall,Morning,45
1726,Independence Memorial Hall,Evening,45
1727,Independence Memorial Hall,Night,45
1737,Kailasanathar Swamy Kovil,Morning,45
1738,Kailasanathar Swamy Kovil,Evening,45
1739,Kailasanathar Swamy Kovil,Night,45
1741,Viharamahadevi Park,Evening,45
1749,Pettah Market,Morning,60
1750,Pettah Market,Evening,120
1751,Pettah Market,Night,45
1756,One Galle Face ,Evening,45
1757,One Galle Face ,Night,200
1760,Colombo City Center (CCC),Night,120
1763,Galle Face Green,Night,60
1786,Viharamahadevi Park,Evening,45
1787,Viharamahadevi Park,Night,60
1789,Port City,Evening,60
1790,Port City,Night,60
1794,Pettah Market,Morning,45
1795,Pettah Market,Evening,45
1796,Pettah Market,Night,45
1801,One Galle Face ,Evening,60
1802,One Galle Face ,Night,45
1804,Colombo City Center (CCC),Evening,45
1805,Colombo City Center (CCC),Night,45
1806,Galle Face Green,Morning,45
1807,Galle Face Green,Evening,60
1808,Galle Face Green,Night,45
1813,National Museum of Colombo,Evening,60
1814,National Museum of Colombo,Night,60
1816,Independence Memorial Hall,Evening,60
1817,Independence Memorial Hall,Night,60
1830,Viharamahadevi Park,Morning,60
1831,Viharamahadevi Park,Evening,60
1832,Viharamahadevi Park,Night,45
1837,Lotus Tower,Evening,60
1838,Lotus Tower,Night,60
1839,Pettah Market,Morning,45
1840,Pettah Market,Evening,60
1841,Pettah Market,Night,45
1845,One Galle Face ,Morning,60
1846,One Galle Face ,Evening,120
1848,Colombo City Center (CCC),Morning,45
1849,Colombo City Center (CCC),Evening,60
1850,Colombo City Center (CCC),Night,45
1852,Galle Face Green,Evening,45
1853,Galle Face Green,Night,60
1858,National Museum of Colombo,Evening,45
1866,National Art Gallery,Morning,45
1875,Viharamahadevi Park,Morning,60
1876,Viharamahadevi Park,Evening,60
1884,Pettah Market,Morning,60
1885,Pettah Market,Evening,60
1886,Pettah Market,Night,45
1890,One Galle Face ,Morning,45
1891,One Galle Face ,Evening,60
1892,One Galle Face ,Night,60
1893,Colombo City Center (CCC),Morning,45
1894,Colombo City Center (CCC),Evening,45
1895,Colombo City Center (CCC),Night,45
1896,Galle Face Green,Morning,45
1897,Galle Face Green,Evening,45
1898,Galle Face Green,Night,45
1929,Pettah Market,Morning,45
1930,Pettah Market,Evening,45
1931,Pettah Market,Night,45
1936,One Galle Face ,Evening,60
1937,One Galle Face ,Night,120
1939,Colombo City Center (CCC),Evening,60
1940,Colombo City Center (CCC),Night,120
1942,Galle Face Green,Evening,60
1943,Galle Face Green,Night,60
1945,Gangaramaya Temple,Evening,45
1947,National Museum of Colombo,Morning,60
1948,National Museum of Colombo,Evening,60
1951,Independence Memorial Hall,Evening,60
1952,Independence Memorial Hall,Night,60
1954,Dutch Museum,Evening,60
1955,Dutch Museum,Night,60
1957,National Art Gallery,Evening,60
1958,National Art Gallery,Night,60
1962,Kailasanathar Swamy Kovil,Morning,45
1963,Kailasanathar Swamy Kovil,Evening,60
1964,Kailasanathar Swamy Kovil,Night,45
1966,Viharamahadevi Park,Evening,60
1967,Viharamahadevi Park,Night,60
1972,Lotus Tower,Evening,60
1973,Lotus Tower,Night,60
1974,Pettah Market,Morning,60
1975,Pettah Market,Evening,60
1981,One Galle Face ,Evening,120
1982,One Galle Face ,Night,120
1984,Colombo City Center (CCC),Evening,120
1985,Colombo City Center (CCC),Night,120
1988,Galle Face Green,Night,60
1995,Independence Memorial Hall,Morning,45
1996,Independence Memorial Hall,Evening,60
1999,Dutch Museum,Evening,60
2002,National Art Gallery,Evening,60
2005,Kelaniya Raja Maha Viharaya,Evening,60
2006,Kelaniya Raja Maha Viharaya,Night,60
2010,Viharamahadevi Park,Morning,45
2011,Viharamahadevi Park,Evening,60
2012,Viharamahadevi Park,Night,120
2020,Pettah Market,Evening,60
2025,One Galle Face ,Morning,200
2026,One Galle Face ,Evening,200
2027,One Galle Face ,Night,60
2028,Colombo City Center (CCC),Morning,45
2029,Colombo City Center (CCC),Evening,120
2030,Colombo City Center (CCC),Night,200
2031,Galle Face Green,Morning,45
2032,Galle Face Green,Evening,45
2033,Galle Face Green,Night,60
2035,Gangaramaya Temple,Evening,45
2036,Gangaramaya Temple,Night,60
2037,National Museum of Colombo,Morning,60
2046,National Art Gallery,Morning,45
2055,Viharamahadevi Park,Morning,60
2056,Viharamahadevi Park,Evening,45
2057,Viharamahadevi Park,Night,45
2059,Port City,Evening,60
2060,Port City,Night,120
2062,Lotus Tower,Evening,60
2063,Lotus Tower,Night,60
2064,Pettah Market,Morning,200
2065,Pettah Market,Evening,200
2070,One Galle Face ,Morning,60
2071,One Galle Face ,Evening,45
2072,One Galle Face ,Night,120
2073,Colombo City Center (CCC),Morning,60
2074,Colombo City Center (CCC),Evening,45
2075,Colombo City Center (CCC),Night,120
2076,Galle Face Green,Morning,45
2078,Galle Face Green,Night,200
2085,Independence Memorial Hall,Morning,45
2086,Independence Memorial Hall,Evening,60
2100,Viharamahadevi Park,Morning,45
2101,Viharamahadevi Park,Evening,60
2105,Port City,Night,60
2109,Pettah Market,Morning,45
2110,Pettah Market,Evening,60
2112,Jami Ul-Alfar Mosque,Morning,45
2113,Jami Ul-Alfar Mosque,Evening,45
2114,Jami Ul-Alfar Mosque,Night,45
2115,One Galle Face ,Morning,60
2116,One Galle Face ,Evening,60
2117,One Galle Face ,Night,45
2118,Colombo City Center (CCC),Morning,60
2119,Colombo City Center (CCC),Evening,120
2120,Colombo City Center (CCC),Night,60
2121,Galle Face Green,Morning,45
2122,Galle Face Green,Evening,45
2123,Galle Face Green,Night,120
2127,National Museum of Colombo,Morning,200
2128,National Museum of Colombo,Evening,120
2129,National Museum of Colombo,Night,45
2130,Independence Memorial Hall,Morning,60
2131,Independence Memorial Hall,Evening,60
2132,Independence Memorial Hall,Night,45
2133,Dutch Museum,Morning,45
2134,Dutch Museum,Evening,45
2135,Dutch Museum,Night,45
2145,Viharamahadevi Park,Morning,60
2146,Viharamahadevi Park,Evening,60
2147,Viharamahadevi Park,Night,45
2154,Pettah Market,Morning,200
2155,Pettah Market,Evening,200
2156,Pettah Market,Night,45
2160,One Galle Face ,Morning,45
2161,One Galle Face ,Evening,60
2162,One Galle Face ,Night,60
2164,Colombo City Center (CCC),Evening,45
2166,Galle Face Green,Morning,60
2167,Galle Face Green,Evening,60
2168,Galle Face Green,Night,60
2169,Gangaramaya Temple,Morning,45
2170,Gangaramaya Temple,Evening,45
2171,Gangaramaya Temple,Night,45
2172,National Museum of Colombo,Morning,60
2176,Independence Memorial Hall,Evening,45
2177,Independence Memorial Hall,Night,45
2178,Dutch Museum,Morning,45
2179,Dutch Museum,Evening,45
2181,National Art Gallery,Morning,45
2182,National Art Gallery,Evening,60
2186,Kelaniya Raja Maha Viharaya,Night,45
2188,Kailasanathar Swamy Kovil,Evening,45
2190,Viharamahadevi Park,Morning,60
2191,Viharamahadevi Park,Evening,60
2192,Viharamahadevi Park,Night,60
2193,Port City,Morning,60
2194,Port City,Evening,60
2195,Port City,Night,60
2199,Pettah Market,Morning,60
2200,Pettah Market,Evening,60
2201,Pettah Market,Night,45
2202,Jami Ul-Alfar Mosque,Morning,45
2203,Jami Ul-Alfar Mosque,Evening,45
2204,Jami Ul-Alfar Mosque,Night,45
2206,One Galle Face ,Evening,120
2207,One Galle Face ,Night,60
2209,Colombo City Center (CCC),Evening,120
2210,Colombo City Center (CCC),Night,60
2212,Galle Face Green,Evening,120
2215,Gangaramaya Temple,Evening,60
2221,Independence Memorial Hall,Evening,60
2230,Kelaniya Raja Maha Viharaya,Evening,60
2231,Kelaniya Raja Maha Viharaya,Night,60
2236,Viharamahadevi Park,Evening,60
2237,Viharamahadevi Park,Night,60
2245,Pettah Market,Evening,60
2250,One Galle Face ,Morning,60
2251,One Galle Face ,Evening,120
2256,Galle Face Green,Morning,60
2257,Galle Face Green,Evening,60
2258,Galle Face Green,Night,120
2271,National Art Gallery,Morning,60
2272,National Art Gallery,Evening,60
2274,Kelaniya Raja Maha Viharaya,Morning,60
2275,Kelaniya Raja Maha Viharaya,Evening,120
2276,Kelaniya Raja Maha Viharaya,Night,120
2280,Viharamahadevi Park,Morning,120
2281,Viharamahadevi Park,Evening,120
2282,Viharamahadevi Park,Night,60
2289,Pettah Market,Morning,60
2290,Pettah Market,Evening,60
2295,One Galle Face ,Morning,45
2296,One Galle Face ,Evening,120
2297,One Galle Face ,Night,120
2298,Colombo City Center (CCC),Morning,45
2299,Colombo City Center (CCC),Evening,120
2300,Colombo City Center (CCC),Night,120
2302,Galle Face Green,Evening,60
2303,Galle Face Green,Night,60
2308,National Museum of Colombo,Evening,60
2310,Independence Memorial Hall,Morning,60
2311,Independence Memorial Hall,Evening,120
2312,Independence Memorial Hall,Night,120
2322,Kailasanathar Swamy Kovil,Morning,45
2323,Kailasanathar Swamy Kovil,Evening,60
2324,Kailasanathar Swamy Kovil,Night,60
2326,Viharamahadevi Park,Evening,60
2327,Viharamahadevi Park,Night,60
2329,Port City,Evening,60
2330,Port City,Night,60
2335,Pettah Market,Evening,60
2336,Pettah Market,Night,60
2341,One Galle Face ,Evening,120
2342,One Galle Face ,Night,60
2344,Colombo City Center (CCC),Evening,120
2345,Colombo City Center (CCC),Night,60
2348,Galle Face Green,Night,45
2350,Gangaramaya Temple,Evening,45
2351,Gangaramaya Temple,Night,45
2353,National Museum of Colombo,Evening,45
2354,National Museum of Colombo,Night,45
2356,Independence Memorial Hall,Evening,60
2357,Independence Memorial Hall,Night,45
2371,Viharamahadevi Park,Evening,60
2372,Viharamahadevi Park,Night,45
2385,One Galle Face ,Morning,60
2386,One Galle Face ,Evening,120
2387,One Galle Face ,Night,45
2388,Colombo City Center (CCC),Morning,60
2389,Colombo City Center (CCC),Evening,120
2390,Colombo City Center (CCC),Night,45
2391,Galle Face Green,Morning,60
2392,Galle Face Green,Evening,60
2393,Galle Face Green,Night,60
2394,Gangaramaya Temple,Morning,45
2397,National Museum of Colombo,Morning,60
2398,National Museum of Colombo,Evening,60
2400,Independence Memorial Hall,Morning,60
2401,Independence Memorial Hall,Evening,120
2402,Independence Memorial Hall,Night,45
2415,Viharamahadevi Park,Morning,120
2416,Viharamahadevi Park,Evening,120
2417,Viharamahadevi Park,Night,120
2424,Pettah Market,Morning,60
2425,Pettah Market,Evening,60
2431,One Galle Face ,Evening,60
2432,One Galle Face ,Night,120
2434,Colombo City Center (CCC),Evening,60
2435,Colombo City Center (CCC),Night,60
2437,Galle Face Green,Evening,45
2440,Gangaramaya Temple,Evening,45
2442,National Museum of Colombo,Morning,120
2446,Independence Memorial Hall,Evening,45
2454,Kelaniya Raja Maha Viharaya,Morning,60
2455,Kelaniya Raja Maha Viharaya,Evening,60
2456,Kelaniya Raja Maha Viharaya,Night,60
2461,Viharamahadevi Park,Evening,45
2464,Port City,Evening,60
2469,Pettah Market,Morning,60
2470,Pettah Market,Evening,120
2476,One Galle Face ,Evening,45
2477,One Galle Face ,Night,60
2478,Colombo City Center (CCC),Morning,60
2479,Colombo City Center (CCC),Evening,45
2482,Galle Face Green,Evening,45
2483,Galle Face Green,Night,60
2484,Gangaramaya Temple,Morning,60
2485,Gangaramaya Temple,Evening,45
2487,National Museum of Colombo,Morning,120
2488,National Museum of Colombo,Evening,60
2489,National Museum of Colombo,Night,45
2491,Independence Memorial Hall,Evening,45
2492,Independence Memorial Hall,Night,60
2493,Dutch Museum,Morning,60
2494,Dutch Museum,Evening,45
2497,National Art Gallery,Evening,45
2498,National Art Gallery,Night,60
2499,Kelaniya Raja Maha Viharaya,Morning,60
2500,Kelaniya Raja Maha Viharaya,Evening,45
2503,Kailasanathar Swamy Kovil,Evening,45
2504,Kailasanathar Swamy Kovil,Night,60
2505,Viharamahadevi Park,Morning,60
2506,Viharamahadevi Park,Evening,45
2508,Port City,Morning,60
2509,Port City,Evening,45
2510,Port City,Night,60
2511,Lotus Tower,Morning,60
2512,Lotus Tower,Evening,60
2513,Lotus Tower,Night,60
2515,Pettah Market,Evening,45
2516,Pettah Market,Night,60
2517,Jami Ul-Alfar Mosque,Morning,120
2518,Jami Ul-Alfar Mosque,Evening,60
2519,Jami Ul-Alfar Mosque,Night,45
2520,One Galle Face ,Morning,45
2521,One Galle Face ,Evening,45
2522,One Galle Face ,Night,120
2523,Colombo City Center (CCC),Morning,45
2524,Colombo City Center (CCC),Evening,45
2525,Colombo City Center (CCC),Night,120
2526,Galle Face Green,Morning,45
2527,Galle Face Green,Evening,45
2528,Galle Face Green,Night,45
2529,Gangaramaya Temple,Morning,45
2530,Gangaramaya Temple,Evening,45
2531,Gangaramaya Temple,Night,45
2532,National Museum of Colombo,Morning,45
2533,National Museum of Colombo,Evening,45
2534,National Museum of Colombo,Night,45
2535,Independence Memorial Hall,Morning,45
2536,Independence Memorial Hall,Evening,45
2537,Independence Memorial Hall,Night,45
2538,Dutch Museum,Morning,45
2539,Dutch Museum,Evening,45
2540,Dutch Museum,Night,45
2541,National Art Gallery,Morning,45
2542,National Art Gallery,Evening,45
2543,National Art Gallery,Night,45
2544,Kelaniya Raja Maha Viharaya,Morning,45
2545,Kelaniya Raja Maha Viharaya,Evening,45
2546,Kelaniya Raja Maha Viharaya,Night,45
2547,Kailasanathar Swamy Kovil,Morning,45
2548,Kailasanathar Swamy Kovil,Evening,45
2549,Kailasanathar Swamy Kovil,Night,45
2550,Viharamahadevi Park,Morning,45
2551,Viharamahadevi Park,Evening,45
2552,Viharamahadevi Park,Night,45
2553,Port City,Morning,45
2554,Port City,Evening,45
2555,Port City,Night,60
2556,Lotus Tower,Morning,45
2557,Lotus Tower,Evening,45
2558,Lotus Tower,Night,45
2559,Pettah Market,Morning,45
2560,Pettah Market,Evening,45
2561,Pettah Market,Night,45
2565,One Galle Face ,Morning,45
2566,One Galle Face ,Evening,45
2568,Colombo City Center (CCC),Morning,45
2569,Colombo City Center (CCC),Evening,45
2571,Galle Face Green,Morning,45
2572,Galle Face Green,Evening,45
2574,Gangaramaya Temple,Morning,45
2575,Gangaramaya Temple,Evening,45
2578,National Museum of Colombo,Evening,45
2580,Independence Memorial Hall,Morning,45
2581,Independence Memorial Hall,Evening,45
2587,National Art Gallery,Evening,45
2589,Kelaniya Raja Maha Viharaya,Morning,60
2590,Kelaniya Raja Maha Viharaya,Evening,60
2591,Kelaniya Raja Maha Viharaya,Night,45
2595,Viharamahadevi Park,Morning,45
2604,Pettah Market,Morning,45
2605,Pettah Market,Evening,45
2611,One Galle Face ,Evening,120
2612,One Galle Face ,Night,60
2614,Colombo City Center (CCC),Evening,120
2615,Colombo City Center (CCC),Night,60
2616,Galle Face Green,Morning,45
2617,Galle Face Green,Evening,60
2618,Galle Face Green,Night,60
2622,National Museum of Colombo,Morning,60
2626,Independence Memorial Hall,Evening,60
2630,Dutch Museum,Night,60
2641,Viharamahadevi Park,Evening,60
2645,Port City,Night,120
2649,Pettah Market,Morning,120
2650,Pettah Market,Evening,120
2651,Pettah Market,Night,60
2652,Jami Ul-Alfar Mosque,Morning,45
2655,One Galle Face ,Morning,45
2656,One Galle Face ,Evening,120
2657,One Galle Face ,Night,60
2658,Colombo City Center (CCC),Morning,45
2659,Colombo City Center (CCC),Evening,120
2660,Colombo City Center (CCC),Night,120
2661,Galle Face Green,Morning,45
2662,Galle Face Green,Evening,60
2663,Galle Face Green,Night,60
2664,Gangaramaya Temple,Morning,45
2665,Gangaramaya Temple,Evening,45
2666,Gangaramaya Temple,Night,45
2670,Independence Memorial Hall,Morning,60
2671,Independence Memorial Hall,Evening,60
2672,Independence Memorial Hall,Night,60
2674,Dutch Museum,Evening,45
2675,Dutch Museum,Night,45
2676,National Art Gallery,Morning,45
2677,National Art Gallery,Evening,200
2678,National Art Gallery,Night,120
2679,Kelaniya Raja Maha Viharaya,Morning,60
2680,Kelaniya Raja Maha Viharaya,Evening,60
2681,Kelaniya Raja Maha Viharaya,Night,60
2685,Viharamahadevi Park,Morning,45
2686,Viharamahadevi Park,Evening,45
2687,Viharamahadevi Park,Night,45
2693,Lotus Tower,Night,120
2694,Pettah Market,Morning,45
2695,Pettah Market,Evening,45
2696,Pettah Market,Night,45
2700,One Galle Face ,Morning,60
2701,One Galle Face ,Evening,120
2702,One Galle Face ,Night,60
2704,Colombo City Center (CCC),Evening,120
2705,Colombo City Center (CCC),Night,60
2706,Galle Face Green,Morning,45
2707,Galle Face Green,Evening,60
2708,Galle Face Green,Night,45
2710,Gangaramaya Temple,Evening,45
2713,National Museum of Colombo,Evening,60
2716,Independence Memorial Hall,Evening,45
2719,Dutch Museum,Evening,60
2722,National Art Gallery,Evening,60
2724,Kelaniya Raja Maha Viharaya,Morning,60
2731,Viharamahadevi Park,Evening,120
2734,Port City,Evening,60
2739,Pettah Market,Morning,45
2740,Pettah Market,Evening,60
2746,One Galle Face ,Evening,60
2747,One Galle Face ,Night,200
2749,Colombo City Center (CCC),Evening,60
2750,Colombo City Center (CCC),Night,120
2752,Galle Face Green,Evening,45
2753,Galle Face Green,Night,200
2755,Gangaramaya Temple,Evening,45
2756,Gangaramaya Temple,Night,60
2757,National Museum of Colombo,Morning,60
2760,Independence Memorial Hall,Morning,60
2762,Independence Memorial Hall,Night,120
2764,Dutch Museum,Evening,45
2767,National Art Gallery,Evening,45
2775,Viharamahadevi Park,Morning,45
2776,Viharamahadevi Park,Evening,60
2777,Viharamahadevi Park,Night,120
2780,Port City,Night,120
2784,Pettah Market,Morning,120
2785,Pettah Market,Evening,200
2786,Pettah Market,Night,200
2787,Jami Ul-Alfar Mosque,Morning,45
2788,Jami Ul-Alfar Mosque,Evening,60
2789,Jami Ul-Alfar Mosque,Night,45
2790,One Galle Face ,Morning,200
2791,One Galle Face ,Evening,200
2794,Colombo City Center (CCC),Evening,200
2796,Galle Face Green,Morning,45
2797,Galle Face Green,Evening,120
2799,Gangaramaya Temple,Morning,60
2800,Gangaramaya Temple,Evening,45
2801,Gangaramaya Temple,Night,200
2802,National Museum of Colombo,Morning,120
2803,National Museum of Colombo,Evening,120
2805,Independence Memorial Hall,Morning,60
2806,Independence Memorial Hall,Evening,60
2808,Dutch Museum,Morning,60
2809,Dutch Museum,Evening,60
2811,National Art Gallery,Morning,60
2812,National Art Gallery,Evening,60
2814,Kelaniya Raja Maha Viharaya,Morning,60
2815,Kelaniya Raja Maha Viharaya,Evening,60
2817,Kailasanathar Swamy Kovil,Morning,60
2818,Kailasanathar Swamy Kovil,Evening,60
2820,Viharamahadevi Park,Morning,60
2821,Viharamahadevi Park,Evening,60
2823,Port City,Morning,120
2824,Port City,Evening,60
2825,Port City,Night,120
2826,Lotus Tower,Morning,120
2827,Lotus Tower,Evening,60
2828,Lotus Tower,Night,120
2829,Pettah Market,Morning,60
2830,Pettah Market,Evening,60
2832,Jami Ul-Alfar Mosque,Morning,60
2833,Jami Ul-Alfar Mosque,Evening,45
2836,One Galle Face ,Evening,60
2839,Colombo City Center (CCC),Evening,60
2842,Galle Face Green,Evening,60
2845,Gangaramaya Temple,Evening,60
2851,Independence Memorial Hall,Evening,45
2860,Kelaniya Raja Maha Viharaya,Evening,120
2861,Kelaniya Raja Maha Viharaya,Night,120
2866,Viharamahadevi Park,Evening,60
2874,Pettah Market,Morning,45
2875,Pettah Market,Evening,45
2881,One Galle Face ,Evening,45
2887,Galle Face Green,Evening,45
2904,Kelaniya Raja Maha Viharaya,Morning,45
2910,Viharamahadevi Park,Morning,45
2920,Pettah Market,Evening,45
2926,One Galle Face ,Evening,120
2927,One Galle Face ,Night,60
2928,Colombo City Center (CCC),Morning,45
2929,Colombo City Center (CCC),Evening,60
2934,Gangaramaya Temple,Morning,60
2935,Gangaramaya Temple,Evening,120
2936,Gangaramaya Temple,Night,45
2937,National Museum of Colombo,Morning,60
2938,National Museum of Colombo,Evening,200
2940,Independence Memorial Hall,Morning,45
2941,Independence Memorial Hall,Evening,45
2942,Independence Memorial Hall,Night,45
2949,Kelaniya Raja Maha Viharaya,Morning,60
2950,Kelaniya Raja Maha Viharaya,Evening,60
2951,Kelaniya Raja Maha Viharaya,Night,200
2955,Viharamahadevi Park,Morning,60
2956,Viharamahadevi Park,Evening,60
2957,Viharamahadevi Park,Night,45
2958,Port City,Morning,45
2959,Port City,Evening,45
2960,Port City,Night,45
2961,Lotus Tower,Morning,45
2962,Lotus Tower,Evening,60
2964,Pettah Market,Morning,60
2965,Pettah Market,Evening,60
2966,Pettah Market,Night,45
2970,One Galle Face ,Morning,45
2971,One Galle Face ,Evening,60
2973,Colombo City Center (CCC),Morning,45
2974,Colombo City Center (CCC),Evening,45
2975,Colombo City Center (CCC),Night,45
3009,Pettah Market,Morning,45
3010,Pettah Market,Evening,45
3011,Pettah Market,Night,45
3016,One Galle Face ,Evening,60
3017,One Galle Face ,Night,60
3019,Colombo City Center (CCC),Evening,60
3020,Colombo City Center (CCC),Night,60
3023,Galle Face Green,Night,45
3030,Independence Memorial Hall,Morning,60
3032,Independence Memorial Hall,Night,60
3045,Viharamahadevi Park,Morning,45
3047,Viharamahadevi Park,Night,60
3049,Port City,Evening,60
3053,Lotus Tower,Night,60
3055,Pettah Market,Evening,60
